schema_version,legacy_top_level_metric_mode,frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou,raw_real_valid_zones,raw_sim_valid_zones,raw_real_mean_distance_mm,raw_sim_mean_distance_mm,raw_paired_valid_zones,raw_mae_mm,raw_bias_mm,raw_no_return_iou,projected_real_valid_zones,projected_sim_valid_zones,projected_real_mean_distance_mm,projected_sim_mean_distance_mm,projected_paired_valid_zones,projected_mae_mm,projected_bias_mm,projected_no_return_iou
shape-replay-v2,raw,104,2026-06-28T15:41:54.486,10.212997436523438,0.34779443004706107,0.2577374682444678,58,64,262.91379310344826,267.953125,58,21.689655172413794,9.89655172413793,0.0,58,64,262.91379310344826,267.953125,58,21.689655172413794,9.89655172413793,0.0,58,64,262.91379310344826,249.90625,58,11.137931034482758,-9.689655172413794,0.0
shape-replay-v2,raw,105,2026-06-28T15:41:54.619,10.346000671386719,0.36172636849089457,0.2716694066883013,57,62,273.1929824561403,283.56451612903226,55,23.29090909090909,15.981818181818182,0.0,57,62,273.1929824561403,283.56451612903226,55,23.29090909090909,15.981818181818182,0.0,57,62,273.1929824561403,264.241935483871,55,8.963636363636363,-5.509090909090909,0.0
shape-replay-v2,raw,106,2026-06-28T15:41:54.714,10.440994262695312,0.3665254031454297,0.27646844134283644,59,64,278.4406779661017,287.765625,59,23.52542372881356,14.135593220338983,0.0,59,64,278.4406779661017,287.765625,59,23.52542372881356,14.135593220338983,0.0,59,64,278.4406779661017,268.359375,59,9.983050847457626,-6.661016949152542,0.0
shape-replay-v2,raw,107,2026-06-28T15:41:54.815,10.541999816894531,0.3669748911679669,0.2769179293653736,59,61,279.52542372881356,292.7049180327869,58,23.275862068965516,14.448275862068966,0.3333333333333333,59,61,279.52542372881356,292.7049180327869,58,23.275862068965516,14.448275862068966,0.3333333333333333,59,61,279.52542372881356,272.57377049180326,58,10.0,-6.620689655172414,0.3333333333333333
shape-replay-v2,raw,108,2026-06-28T15:41:54.914,10.640998840332031,0.3670334125473722,0.27697645074477895,60,64,279.9166666666667,289.0625,60,23.833333333333332,12.866666666666667,0.0,60,64,279.9166666666667,289.0625,60,23.833333333333332,12.866666666666667,0.0,60,64,279.9166666666667,269.671875,60,10.35,-7.616666666666666,0.0
shape-replay-v2,raw,109,2026-06-28T15:41:55.003,10.729995727539062,0.36700408724513456,0.2769471254425413,59,64,279.2881355932203,289.609375,59,24.677966101694917,14.474576271186441,0.0,59,64,279.2881355932203,289.609375,59,24.677966101694917,14.474576271186441,0.0,59,64,279.2881355932203,270.03125,59,9.542372881355933,-6.52542372881356,0.0
shape-replay-v2,raw,110,2026-06-28T15:41:55.104,10.83099365234375,0.3670127144772997,0.27695575267470646,59,64,279.20338983050846,288.703125,59,23.949152542372882,14.016949152542374,0.0,59,64,279.20338983050846,288.703125,59,23.949152542372882,14.016949152542374,0.0,59,64,279.20338983050846,269.234375,59,9.661016949152541,-6.88135593220339,0.0
shape-replay-v2,raw,111,2026-06-28T15:41:55.199,10.925994873046875,0.3670701794941022,0.27701321769150894,61,63,279.9672131147541,291.2857142857143,61,25.016393442622952,13.442622950819672,0.3333333333333333,61,63,279.9672131147541,291.2857142857143,61,25.016393442622952,13.442622950819672,0.3333333333333333,61,63,279.9672131147541,271.58730158730157,61,11.147540983606557,-6.786885245901639,0.3333333333333333
shape-replay-v2,raw,112,2026-06-28T15:41:55.290,11.016998291015625,0.36706473673311957,0.2770077749305263,58,62,279.9310344827586,291.80645161290323,58,23.448275862068964,14.482758620689655,0.3333333333333333,58,62,279.9310344827586,291.80645161290323,58,23.448275862068964,14.482758620689655,0.3333333333333333,58,62,279.9310344827586,271.7903225806452,58,10.379310344827585,-6.758620689655173,0.3333333333333333
shape-replay-v2,raw,113,2026-06-28T15:41:55.379,11.105995178222656,0.3671095969032634,0.27705263510067013,58,63,279.67241379310343,289.57142857142856,57,23.36842105263158,14.31578947368421,0.0,58,63,279.67241379310343,289.57142857142856,57,23.36842105263158,14.31578947368421,0.0,58,63,279.67241379310343,270.015873015873,57,9.982456140350877,-7.105263157894737,0.0
