frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
84,2026-06-28T15:40:47.711,8.27099609375,0.3536963694765975,0.26363940767400423,58,63,269.17241379310343,273.92063492063494,58,21.775862068965516,9.086206896551724,0.16666666666666666
85,2026-06-28T15:40:47.808,8.367996215820312,0.343666851455685,0.2536098896530917,56,62,259.2857142857143,264.9032258064516,54,18.75925925925926,11.87037037037037,0.0
86,2026-06-28T15:40:47.901,8.46099853515625,0.33794178459253343,0.24788482278994017,54,63,252.33333333333334,259.6984126984127,54,19.87037037037037,11.907407407407407,0.1
87,2026-06-28T15:40:47.990,8.549995422363281,0.33710803923760796,0.2470510774350147,54,64,251.25925925925927,257.421875,54,19.77777777777778,11.666666666666666,0.0
88,2026-06-28T15:40:48.083,8.642997741699219,0.3371111745713665,0.24705421276877326,53,62,251.1509433962264,260.5806451612903,53,20.264150943396228,13.056603773584905,0.18181818181818182
89,2026-06-28T15:40:48.182,8.741996765136719,0.3370877719709694,0.24703081016837614,54,63,251.5185185185185,258.8888888888889,54,20.425925925925927,11.87037037037037,0.1
90,2026-06-28T15:40:48.282,8.841995239257812,0.3371162077404652,0.24705924593787193,54,63,251.14814814814815,258.73015873015873,53,20.49056603773585,12.867924528301886,0.0
91,2026-06-28T15:40:48.379,8.938995361328125,0.3370783250155228,0.24702136321292956,53,64,251.1509433962264,258.296875,53,20.32075471698113,12.471698113207546,0.0
92,2026-06-28T15:40:48.478,9.037994384765625,0.33710578183725376,0.2470488200346605,53,64,251.39622641509433,257.703125,53,19.92452830188679,12.377358490566039,0.0
93,2026-06-28T15:40:48.576,9.135993957519531,0.3371348001923328,0.2470778383897395,52,64,250.57692307692307,258.21875,52,20.28846153846154,13.634615384615385,0.0
94,2026-06-28T15:40:48.674,9.234001159667969,0.3370935101051393,0.24703654830254607,54,64,251.05555555555554,257.734375,54,20.203703703703702,11.907407407407407,0.0
95,2026-06-28T15:40:48.773,9.333000183105469,0.3371110861961323,0.24705412439353902,54,63,251.7962962962963,258.3174603174603,54,18.944444444444443,10.574074074074074,0.1
96,2026-06-28T15:40:48.871,9.430999755859375,0.33707515460755544,0.24701819280496218,54,63,251.53703703703704,258.3174603174603,54,19.166666666666668,10.833333333333334,0.1
97,2026-06-28T15:40:48.969,9.528999328613281,0.33711874431743616,0.2470617825148429,54,64,251.5,258.59375,54,20.72222222222222,12.166666666666666,0.0
98,2026-06-28T15:40:49.068,9.627998352050781,0.3371105064426863,0.24705354464009305,55,62,251.56363636363636,260.4516129032258,55,20.12727272727273,11.727272727272727,0.2222222222222222
99,2026-06-28T15:40:49.166,9.725997924804688,0.33709180317263576,0.2470348413700425,54,63,251.38888888888889,258.74603174603175,54,19.40740740740741,11.62962962962963,0.1
100,2026-06-28T15:40:49.301,9.861000061035156,0.33706370876848385,0.2470067469658906,54,61,251.03703703703704,260.0983606557377,53,19.79245283018868,12.50943396226415,0.18181818181818182
101,2026-06-28T15:40:49.398,9.958000183105469,0.3371126575559766,0.24705569575338332,54,64,250.94444444444446,257.984375,54,19.0,12.407407407407407,0.0
102,2026-06-28T15:40:49.498,10.057998657226562,0.3370966630463406,0.24703970124374736,53,63,251.03773584905662,258.93650793650795,53,19.867924528301888,12.547169811320755,0.09090909090909091
103,2026-06-28T15:40:49.581,10.140998840332031,0.33511317553141756,0.2450562137288243,53,62,250.22641509433961,258.33870967741933,53,19.90566037735849,12.056603773584905,0.18181818181818182
104,2026-06-28T15:40:49.674,10.234001159667969,0.3294940366938138,0.2394370748912205,52,63,245.01923076923077,248.63492063492063,52,21.923076923076923,7.730769230769231,0.08333333333333333
105,2026-06-28T15:40:49.764,10.323997497558594,0.31896099744860257,0.2289040356460093,49,61,234.20408163265307,234.27868852459017,47,23.382978723404257,6.148936170212766,0.058823529411764705
106,2026-06-28T15:40:49.861,10.420997619628906,0.3108118421873425,0.22075488038474922,47,63,225.46808510638297,222.6984126984127,46,25.195652173913043,4.282608695652174,0.0
107,2026-06-28T15:40:49.962,10.521995544433594,0.30710862817172,0.21705166636912676,48,64,221.9375,216.6875,48,23.6875,0.4375,0.0
108,2026-06-28T15:40:50.057,10.616996765136719,0.3070530982805211,0.21699613647792781,47,63,222.46808510638297,217.77777777777777,46,23.782608695652176,1.3478260869565217,0.0
109,2026-06-28T15:40:50.153,10.712997436523438,0.30710335744097605,0.2170463956383828,47,63,222.53191489361703,217.47619047619048,46,23.17391304347826,1.391304347826087,0.0
110,2026-06-28T15:40:50.252,10.811996459960938,0.3070999670894071,0.21704300528681386,46,63,222.19565217391303,217.4126984126984,46,25.565217391304348,1.434782608695652,0.05555555555555555
111,2026-06-28T15:40:50.357,10.916999816894531,0.3070477595863267,0.21699079778373342,47,63,221.93617021276594,217.3015873015873,47,24.93617021276596,1.3191489361702127,0.058823529411764705
112,2026-06-28T15:40:50.454,11.013999938964844,0.3070914605547612,0.21703449875216796,47,61,221.93617021276594,218.13114754098362,45,23.933333333333334,2.511111111111111,0.05263157894736842
113,2026-06-28T15:40:50.544,11.103996276855469,0.3070814620964639,0.21702450029387066,47,62,221.80851063829786,217.9516129032258,46,23.543478260869566,1.326086956521739,0.05555555555555555
114,2026-06-28T15:40:50.645,11.204994201660156,0.3070715992023907,0.21701463739979743,47,64,222.5531914893617,217.203125,47,25.51063829787234,1.0,0.0
115,2026-06-28T15:40:50.741,11.300994873046875,0.3070780448712157,0.21702108306862244,46,63,221.91304347826087,217.5873015873016,45,24.266666666666666,2.3555555555555556,0.0
116,2026-06-28T15:40:50.838,11.397994995117188,0.3070692593497294,0.21701229754713613,47,63,221.7659574468085,217.23809523809524,47,24.04255319148936,0.46808510638297873,0.058823529411764705
117,2026-06-28T15:40:50.937,11.496994018554688,0.30707889431082624,0.21702193250823298,47,64,221.5531914893617,217.328125,47,24.914893617021278,2.3191489361702127,0.0
118,2026-06-28T15:40:51.045,11.604995727539062,0.3070792221120494,0.21702226030945615,47,64,221.87234042553192,216.703125,47,24.80851063829787,0.6382978723404256,0.0
119,2026-06-28T15:40:51.142,11.701995849609375,0.3070738610705242,0.21701689926793094,47,63,221.9787234042553,218.63492063492063,47,25.19148936170213,2.425531914893617,0.058823529411764705
120,2026-06-28T15:40:51.245,11.805000305175781,0.3070624518673116,0.21700549006471836,47,64,221.7659574468085,216.6875,47,24.95744680851064,0.9148936170212766,0.0
121,2026-06-28T15:40:51.340,11.899993896484375,0.3070650761994757,0.21700811439688245,47,61,222.17021276595744,218.37704918032787,46,25.02173913043478,0.8478260869565217,0.1111111111111111
122,2026-06-28T15:40:51.435,11.9949951171875,0.30707387791439117,0.2170169161117979,47,64,222.36170212765958,216.71875,47,23.170212765957448,1.7659574468085106,0.0
123,2026-06-28T15:40:51.530,12.089996337890625,0.3070699200768892,0.21701295827429595,49,64,222.53061224489795,217.109375,49,25.46938775510204,0.4897959183673469,0.0
124,2026-06-28T15:40:51.626,12.185997009277344,0.30400282222354913,0.21394586042095587,45,64,218.48888888888888,213.671875,45,25.2,1.9555555555555555,0.0
125,2026-06-28T15:40:51.724,12.28399658203125,0.2956525051313651,0.20559554332877183,41,64,209.8780487804878,203.4375,41,26.0,-1.1219512195121952,0.0
126,2026-06-28T15:40:51.830,12.389999389648438,0.28416163173777687,0.1941046699351836,34,62,196.55882352941177,188.19354838709677,33,24.575757575757574,-3.0606060606060606,0.03225806451612903
127,2026-06-28T15:40:51.921,12.480995178222656,0.278705650485942,0.18864868868334872,34,64,191.3235294117647,181.25,34,24.235294117647058,-4.352941176470588,0.0
128,2026-06-28T15:40:52.028,12.587997436523438,0.2771208601944162,0.1870638983918229,33,63,188.27272727272728,178.63492063492063,32,24.0,-4.125,0.0
129,2026-06-28T15:40:52.122,12.681999206542969,0.2771511841428054,0.1870942223402121,34,62,189.58823529411765,178.98387096774192,32,25.125,-5.1875,0.0
130,2026-06-28T15:40:52.215,12.774993896484375,0.27710093446784256,0.1870439726652493,33,62,188.87878787878788,180.0,31,24.93548387096774,-2.4838709677419355,0.0
131,2026-06-28T15:40:52.314,12.874000549316406,0.27716508047890936,0.1871081186763161,34,64,189.44117647058823,178.765625,34,25.735294117647058,-6.205882352941177,0.0
