frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
85,2026-06-28T15:43:12.256,8.404998779296875,0.33779508387364393,0.2476634719480661,64,64,252.484375,264.359375,64,14.09375,11.875,1.0
86,2026-06-28T15:43:12.344,8.493003845214844,0.33712031561826417,0.24698870369268633,64,64,249.34375,264.890625,64,16.734375,15.546875,1.0
87,2026-06-28T15:43:12.440,8.589004516601562,0.3371139462207957,0.24698233429521788,64,64,249.9375,264.171875,64,15.953125,14.234375,1.0
88,2026-06-28T15:43:12.536,8.685005187988281,0.3371462503239536,0.24701463839837579,64,64,249.5,264.125,64,15.84375,14.625,1.0
89,2026-06-28T15:43:12.637,8.786003112792969,0.33715086481838075,0.2470192528928029,64,64,249.734375,264.59375,64,15.984375,14.859375,1.0
90,2026-06-28T15:43:12.728,8.876998901367188,0.3371099685926867,0.24697835666710888,64,64,249.5,263.8125,64,16.59375,14.3125,1.0
91,2026-06-28T15:43:12.819,8.968002319335938,0.33714403189365366,0.24701241996807582,64,64,249.375,264.375,64,15.9375,15.0,1.0
92,2026-06-28T15:43:12.924,9.073005676269531,0.3371455591326684,0.24701394720709058,64,64,249.34375,263.921875,64,15.734375,14.578125,1.0
93,2026-06-28T15:43:13.011,9.160003662109375,0.33710996949840977,0.24697835757283193,64,64,249.96875,263.515625,64,14.921875,13.546875,1.0
94,2026-06-28T15:43:13.100,9.249000549316406,0.3371053579496087,0.24697374602403088,64,64,249.375,264.734375,64,16.546875,15.359375,1.0
95,2026-06-28T15:43:13.202,9.351005554199219,0.33710231459808737,0.24697070267250953,64,64,249.8125,264.734375,64,16.078125,14.921875,1.0
96,2026-06-28T15:43:13.303,9.452003479003906,0.33713181058717934,0.2470001986616015,64,64,249.5,264.765625,64,16.234375,15.265625,1.0
97,2026-06-28T15:43:13.396,9.545005798339844,0.33710575406747045,0.24697414214189262,64,64,249.578125,264.125,64,15.203125,14.546875,1.0
98,2026-06-28T15:43:13.492,9.640998840332031,0.3371375558974553,0.24700594397187747,64,64,249.78125,263.46875,64,15.625,13.6875,1.0
99,2026-06-28T15:43:13.584,9.733001708984375,0.33707368788998565,0.24694207596440781,64,64,249.59375,264.09375,64,15.6875,14.5,1.0
100,2026-06-28T15:43:13.688,9.837005615234375,0.3371168474532185,0.24698523552764068,64,64,249.28125,264.203125,64,15.921875,14.921875,1.0
101,2026-06-28T15:43:13.787,9.936004638671875,0.33713755495642894,0.2470059430308511,64,64,249.71875,264.78125,64,16.84375,15.0625,1.0
102,2026-06-28T15:43:13.875,10.024002075195312,0.336909702324823,0.24677809039924514,64,64,249.203125,263.640625,64,16.15625,14.4375,1.0
103,2026-06-28T15:43:13.974,10.123001098632812,0.3324754754400592,0.24234386351448134,64,64,245.109375,260.046875,64,16.40625,14.9375,1.0
104,2026-06-28T15:43:14.072,10.221000671386719,0.32380105207175697,0.23366944014617913,64,64,236.078125,250.0625,64,15.453125,13.984375,1.0
105,2026-06-28T15:43:14.171,10.319999694824219,0.3136640991803405,0.22353248725476266,63,64,226.17460317460316,238.671875,63,13.222222222222221,12.492063492063492,0.0
106,2026-06-28T15:43:14.269,10.417999267578125,0.3077169392239262,0.21758532729834834,63,64,220.28571428571428,232.8125,63,13.063492063492063,12.46031746031746,0.0
107,2026-06-28T15:43:14.368,10.516998291015625,0.3071010964485808,0.21696948452300296,63,64,220.11111111111111,231.84375,63,12.841269841269842,11.825396825396826,0.0
108,2026-06-28T15:43:14.466,10.615005493164062,0.3070914629221693,0.21695985099659149,63,64,219.93650793650792,231.96875,63,13.285714285714286,12.142857142857142,0.0
