frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,paired_valid_zones,mae_mm,bias_mm,no_return_iou
65,2026-06-28T15:41:50.650,6.3769989013671875,0.30540957709102473,0.21535261528843147,48,63,47,24.46808510638298,1.872340425531915,0.0
66,2026-06-28T15:41:50.748,6.474998474121094,0.3069479497023801,0.21689098789978684,46,63,46,25.782608695652176,2.217391304347826,0.05555555555555555
67,2026-06-28T15:41:50.847,6.573997497558594,0.306968962705463,0.21691200090286972,46,63,46,23.67391304347826,3.4130434782608696,0.05555555555555555
68,2026-06-28T15:41:50.945,6.6719970703125,0.30696441492319726,0.216907453120604,47,60,45,25.466666666666665,4.311111111111111,0.10526315789473684
69,2026-06-28T15:41:51.043,6.769996643066406,0.3069975883703405,0.21694062656774726,47,64,47,24.95744680851064,1.2127659574468086,0.0
70,2026-06-28T15:41:51.142,6.868995666503906,0.30702484870652547,0.2169678869039322,47,64,47,24.361702127659573,1.0851063829787233,0.0
71,2026-06-28T15:41:51.239,6.965995788574219,0.30708160387974087,0.2170246420771476,48,64,48,25.6875,1.6041666666666667,0.0
72,2026-06-28T15:41:51.377,7.103996276855469,0.30710542216312725,0.217048460360534,45,63,44,24.522727272727273,5.704545454545454,0.0
73,2026-06-28T15:41:51.465,7.191993713378906,0.30707333498355965,0.2170163731809664,46,64,46,24.67391304347826,1.2391304347826086,0.0
74,2026-06-28T15:41:51.560,7.286994934082031,0.30706427746731807,0.2170073156647248,47,64,47,24.93617021276596,0.3404255319148936,0.0
75,2026-06-28T15:41:51.649,7.375999450683594,0.3070810156685124,0.21702405386591916,46,62,44,22.90909090909091,5.454545454545454,0.0
76,2026-06-28T15:41:51.750,7.476997375488281,0.3070790466173482,0.21702208481475493,45,64,45,25.288888888888888,4.4,0.0
77,2026-06-28T15:41:51.884,7.611000061035156,0.3070443832291877,0.21698742142659444,47,64,47,24.404255319148938,0.6595744680851063,0.0
